,index,address,zip_code,price,bed,bath,sqr_footage,property_link
99,99,1937 Tolmie St,V6R 4C1,"$7,800,000",2 beds,2 baths,"3,277 ",https://www.redfin.com/bc/vancouver/1937-Tolmie-St-V6R-4C1/home/155247807
100,100,4548 W 13th Ave,V6R 2V4,"$3,100,000",5 beds,2 baths,"2,302 ",https://www.redfin.com/bc/vancouver/4548-W-13th-Ave-V6R-2V4/home/155226105
101,101,4086 W 8th Ave,V6R 1Z6,"$3,998,000",5 beds,1.5 baths,"3,208 ",https://www.redfin.com/bc/vancouver/4086-W-8th-Ave-V6R-1Z6/home/155249790
102,102,4239 W 11th Ave,V6R 2L8,"$4,380,000",4 beds,4.5 baths,"2,747 ",https://www.redfin.com/bc/vancouver/4239-W-11th-Ave-V6R-2L8/home/155200226
103,103,4415 W 15th Ave,V6R 3B1,"$3,699,000",7 beds,3.5 baths,"2,939 ",https://www.redfin.com/bc/vancouver/4415-W-15th-Ave-V6R-3B1/home/155191185
104,104,4316 W 2nd Ave,V6R 1K3,"$4,680,000",6 beds,3 baths,"2,931 ",https://www.redfin.com/bc/vancouver/4316-W-2nd-Ave-V6R-1K3/home/155305566
105,105,4146 Crown Cres,V6R 2A9,"$5,980,000",5 beds,5 baths,"3,851 ",https://www.redfin.com/bc/vancouver/4146-Crown-Cres-V6R-2A9/home/155189139
106,106,4663 W 15th Ave,V6R 3B5,"$2,860,000",7 beds,3 baths,"2,035 ",https://www.redfin.com/bc/vancouver/4663-W-15th-Ave-V6R-3B5/home/155230449
107,107,4247 W 13th Ave,V6R 2T7,"$3,588,000",4 beds,2 baths,"2,282 ",https://www.redfin.com/bc/vancouver/4247-W-13th-Ave-V6R-2T7/home/155276857
108,108,4546 Langara Ave,V6R 1C8,"$11,990,000",4 beds,3.5 baths,"3,252 ",https://www.redfin.com/bc/vancouver/4546-Langara-Ave-V6R-1C8/home/155262460
109,109,4560 Belmont Ave,V6R 1C4,"$4,050,000",5 beds,3.5 baths,"2,314 ",https://www.redfin.com/bc/vancouver/4560-Belmont-Ave-V6R-1C4/home/155191571
110,110,2950 Tolmie St,V6R 4K6,"$4,288,000",5 beds,4.5 baths,"3,444 ",https://www.redfin.com/bc/vancouver/2950-Tolmie-St-V6R-4K6/home/155186832
111,111,4679 13th Ave,V6R 2V6,"$3,780,000",4 beds,3 baths,"2,877 ",https://www.redfin.com/bc/vancouver/4679-W-13th-Ave-V6R-2V6/home/155294976
112,112,4307 W 13th Ave,V6R 2V1,"$4,498,000",5 beds,4.5 baths,"2,974 ",https://www.redfin.com/bc/vancouver/4307-W-13th-Ave-V6R-2V1/home/155303045
113,113,4788 Belmont Ave,V6T 1A9,"$28,888,000",7 beds,10.5 baths,"10,077 ",https://www.redfin.com/bc/vancouver/4788-Belmont-Ave-V6T-1A8/home/155822070
114,114,2516 Courtenay St,V6R 3X3,"$7,680,000",6 beds,2.5 baths,"3,173 ",https://www.redfin.com/bc/vancouver/2516-Courtenay-St-V6R-3X3/home/155295568
115,115,4468 W 1st Ave,V6R 4J4,"$6,398,000",4 beds,3.5 baths,"4,017 ",https://www.redfin.com/bc/vancouver/4468-W-1st-Ave-V6R-4J4/home/155303902
116,116,4557 W 4th Ave,V6R 1R4,"$4,850,000",6 beds,2.5 baths,"3,206 ",https://www.redfin.com/bc/vancouver/4557-W-4th-Ave-V6R-1R4/home/155272625
117,117,4778 Drummond Dr,V6T 1B4,"$22,680,000",8 beds,10.5 baths,"13,733 ",https://www.redfin.com/bc/vancouver/4778-Drummond-Dr-V6T-1B4/home/168407349
118,118,4688 W 10th Ave #201,V6R 2J5,"$879,900",2 beds,2 baths,890 ,https://www.redfin.com/bc/vancouver/4688-W-10th-Ave-V6R-2J5/unit-201/home/155151861
119,119,4322 West Point Pl,V6R 4M9,"$4,980,000",3 beds,4 baths,"3,444 ",https://www.redfin.com/bc/vancouver/4322-W-Point-Pl-V6R-4M9/home/155173061
120,120,4306 W 8th Ave,V6R 2A1,"$6,588,000",4 beds,5.5 baths,"3,794 ",https://www.redfin.com/bc/vancouver/4306-W-8th-Ave-V6R-2A1/home/155296338
121,121,4473 W 5th Ave,V6R 1S4,"$4,188,800",6 beds,6 baths,"3,514 ",https://www.redfin.com/bc/vancouver/4473-W-5th-Ave-V6R-1S4/home/155190358
122,122,4355 Locarno Cres,V6R 1G2,"$3,298,000",2 beds,1 bath,"2,163 ",https://www.redfin.com/bc/vancouver/4355-Locarno-Cres-V6R-1G2/home/155324780
123,123,4217 W 16th Ave,V6R 3E5,"$4,288,000",5 beds,4 baths,"2,901 ",https://www.redfin.com/bc/vancouver/4217-W-16th-Ave-V6R-3E5/home/155344779
124,124,3991 W 10th Ave,V6R 2G9,"$4,600,000",5 beds,4.5 baths,"3,109 ",https://www.redfin.com/bc/vancouver/3991-W-10th-Ave-V6R-2G9/home/155198966
125,125,3993 W 10th Ave,V6R 2G9,"$4,600,000",6 beds,2.5 baths,"2,874 ",https://www.redfin.com/bc/vancouver/3993-W-10th-Ave-V6R-2G9/home/155343384
126,126,3983 W 10th Ave,V6R 2G9,"$4,600,000",6 beds,3 baths,"3,120 ",https://www.redfin.com/bc/vancouver/3983-W-10th-Ave-V6R-2G9/home/155324701
127,127,4416 West 10TH Ave,V6R 2H9,"$12,500,000",— beds,— baths,"14,050 ",https://www.redfin.com/bc/vancouver/4416-W-10th-Ave-V6R-2H9/home/155313925
128,128,3981 W 11th Ave,V6R 2L1,"$3,558,000",2 beds,2.5 baths,"1,933 ",https://www.redfin.com/bc/vancouver/3981-W-11th-Ave-V6R-2L1/home/155331900
129,129,4291 W 9th Ave,V6R 2C6,"$4,970,000",5 beds,3.5 baths,"3,275 ",https://www.redfin.com/bc/vancouver/4291-W-9th-Ave-V6R-2C6/home/155303475
130,130,4086 W 13th Ave,V6R 2T4,"$4,530,000",4 beds,3 baths,"2,792 ",https://www.redfin.com/bc/vancouver/4086-W-13th-Ave-V6R-2T4/home/155318663
131,131,4651 Simpson Ave,V6R 1C2,"$9,980,000",5 beds,7 baths,"5,283 ",https://www.redfin.com/bc/vancouver/4651-Simpson-Ave-V6R-1C2/home/155247453
132,132,4769 Belmont Ave,V6T 1A8,"$32,000,000",1 bed,1 bath,640 ,https://www.redfin.com/bc/vancouver/4769-Belmont-Ave-V6T-1A8/home/155821490
133,133,4755 Belmont Ave,V6T 1A8,"$30,000,000",3 beds,1.5 baths,"2,000 ",https://www.redfin.com/bc/vancouver/4755-Belmont-Ave-V6T-1A8/home/155821936
134,134,4309 Locarno Cres,V6R 1G2,"$3,890,000",3 beds,1.5 baths,"2,009 ",https://www.redfin.com/bc/vancouver/4309-Locarno-Cres-V6R-1G2/home/155188802
135,135,4786 Drummond Dr,V6T 1B4,"$11,880,000",4 beds,2 baths,"3,256 ",https://www.redfin.com/bc/vancouver/4786-Drummond-Dr-V6T-1B4/home/155881169
136,136,4570 W 13th Ave,V6R 2V4,"$4,880,000",5 beds,4 baths,"4,149 ",https://www.redfin.com/bc/vancouver/4570-W-13th-Ave-V6R-2V4/home/155200174
137,137,1784 Drummond Dr,V6T 1B6,"$20,800,000",7 beds,2 baths,— ,https://www.redfin.com/bc/vancouver/1784-Drummond-Dr-V6T-1B6/home/155880949
138,138,4474 W 15th Ave,V6R 3B2,"$4,298,000",4 beds,4.5 baths,"3,013 ",https://www.redfin.com/bc/vancouver/4474-W-15th-Ave-V6R-3B2/home/155188658
