,address,zip_code,price,bed,bath,sqr_footage,property_link
93,1939 W 12th Ave,V6J 2G1,"$1,099,000",2 beds,1.5 baths,"1,060 ",https://www.redfin.com/bc/vancouver/1939-W-12th-Ave-V6J-2G1/home/155546426
94,2680 Arbutus St #307,V6J 5L8,"$887,800",2 beds,1 bath,809 ,https://www.redfin.com/bc/vancouver/2680-Arbutus-St-V6J-5L8/unit-307/home/155478858
95,2161 W 12th Ave #211,V6K 4S7,"$799,000",1 bed,1 bath,726 ,https://www.redfin.com/bc/vancouver/2161-W-12th-Ave-V6K-4S7/unit-211/home/155857027
96,2190 W 8th Ave #103,V6K 2A4,"$579,000",1 bed,1 bath,604 ,https://www.redfin.com/bc/vancouver/2190-W-8th-Ave-V6K-2A4/unit-103/home/155650768
97,1858 W 5th Ave #407,V6J 1P3,"$899,000",1 bed,1 bath,746 ,https://www.redfin.com/bc/vancouver/1858-W-5th-Ave-V6J-1P3/unit-407/home/155469504
98,2033 W 10th Ave #311,V6J 0H1,"$780,000",1 bed,1 bath,675 ,https://www.redfin.com/bc/vancouver/2033-W-10th-Ave-V6J-1Z4/unit-311/home/168458645
99,2190 8th Ave,V6K 2A4,"$848,000",2 beds,1.5 baths,800 ,https://www.redfin.com/bc/vancouver/2190-W-8th-Ave-V6K-2A4/home/155968855
100,1777 W 13th Ave #110,V6J 2H2,"$969,000",2 beds,1.5 baths,"1,138 ",https://www.redfin.com/bc/vancouver/1777-W-13th-Ave-V6J-2H2/unit-110/home/155346803
101,2160 W 8th Ave,V6K 2A4,"$2,099,000",3 beds,3 baths,"1,760 ",https://www.redfin.com/bc/vancouver/2160-W-8th-Ave-V6K-2A4/home/155944461
102,2528 Maple St #703,V6J 0B5,"$1,499,000",2 beds,2 baths,"1,237 ",https://www.redfin.com/bc/vancouver/2528-Maple-St-V6J-0B5/unit-703/home/155444709
103,2228 Marstrand Ave #404,V6K 4T1,"$1,198,000",2 beds,2 baths,953 ,https://www.redfin.com/bc/vancouver/2228-Marstrand-Ave-V6K-4T1/unit-404/home/155908584
104,3182 Burrard St,V6J 2L9,"$749,999",1 bed,1 bath,697 ,https://www.redfin.com/bc/vancouver/3182-Burrard-St-V6J-2L9/home/160499132
105,2175 Salal Dr #311,V6K 4V2,"$926,800",1 bed,1 bath,728 ,https://www.redfin.com/bc/vancouver/2175-Salal-Dr-V6K-4V2/unit-311/home/155705008
106,1640 W 11th Ave #201,V6J 2B9,"$739,000",2 beds,1 bath,858 ,https://www.redfin.com/bc/vancouver/1640-W-11th-Ave-V6J-2B9/unit-201/home/155355623
107,2799 Yew St #715,V6K 4W2,"$789,999",1 bed,1 bath,739 ,https://www.redfin.com/bc/vancouver/2799-Yew-St-V6K-4W2/unit-715/home/155583646
